# REGULARS
to experience/encounter, ondervinden/ondervond/ondervonden
to find, vinden/vond/gevonden
to fly, vliegen/vloog/is gevlogen
to freeze, vriezen/vroor/gevroren
to consider, overwegen/overwoog/overwogen
to swim, zwemmen/zwom/is gezwommen
to suck, zuigen/zoog/gezogen
to sing, zingen/zong/gezongen
to sink, zinken/zonk/is gezonken
to send, zenden/zond/gezonden
to prefer, verkiezen/verkoos/verkozen
to lose, verliezen/verloor/verloren
to fight/battle, vechten/vocht/gevochten
to hide, verbergen/verborg/verborgen
to excel, overtreffen/overtrof/overtroffen
to hit/strike, treffen/trof/getroffen
to pull, trekken/trok/getrokken
to stink, stinken/stonk/gestonken
to wrap up, omwinden/omwond/omwonden
to wind, winden/wond/gewonden
to conquer, overwinnen/overwon/overwonnen
to win, winnen/won/gewonnen
to tell a lie, liegen/loog/gelogen
to shrink, krimpen/kromp/is gekrompen
to creep, kruipen/kroop/is gekropen
to climb, klimmen/klom/is geklommen
to sound, klinken/klonk/is geklommen
to weigh, wegen/woog/gewogen
to choose, kiezen/koos/gekozen

#IJ/EE/E-en
to understand, begrijpen/begreep/begrepen
to bite, bijten/beet/gebeten
to appear, blijken/bleek/is gebleken
to stay, blijven/bleef/is gebleven
to float/drive/herd, drijven/dreef/is gedreven
to exagerate, overdrijven/overdreef/overdreven
to slide, glijden/gleed/is gegleden
to ride, rijden/reed/is gereden
to run, overrijden/overreed/overreden
to evade fare, zwartrijden/reed zwart/zwartgereden
to separate, scheiden/scheidde/gescheiden
to distinguish, onderscheiden/onderscheidde/onderscheiden
to shine, schijnen/scheen/geschenen
to appear, bverschijnen/verscheen/verschenen
to exceed, overschrijden/overschreed/overschreden
to write, schrijven/schreef/geschreven
to register, opschrijven/opschreef/opgeschreven
to describe, omschrijven/omschreef/omschreven
to endorse, onderschrijven/onderschrijven/onderschreven
to hurl, smijten/smeet/gesmeten
to cut, snijden/sneed/gesneden
to be sorry, spijten/speet/gespeten
to hush, zwijgen/zweeg/gezwegen
to grab, grijpen/greep/gegrepen
to miss hold, misgrijpen/greep mis/misgegrepen
to suffer, lijden/leed/geleden
to decease, overlijden/overleed/is overleden
to appear, lijken/leek/geleken
to compare, vergelijken/vergeleek/vergeleken
to teach, onderwijzen/onderwees/onderwezen
to refer, verwijzen/verwees/verwezen
to show/point, wijzen/wees/gewezen
to get, krijgen/kreeg/gekregen
to rub, wrijven/wreef/gewreven
to disappear, verdwijnen/verdween/is verdwenen
to compare, vergelijken/vergeleek/vergeleken
to avoid, vermijden/vermeed/vermeden
to look, kijken/keek/gekeken
to check, nakijken/keek na/nagekeken
to squeze, knijpen/kneep/geknepen
to rise, stijgen/steeg/is gestegen
to fight, strijden/streed/gestreden

#X/OE/X-en
to wear, dragen/droeg/gedragen
to strike, slaan/sloeg/geslagen
to miss, misslaan/sloeg mis/misgeslagen
to experience, ervaren/ervoer/ervaren 
to dig, grave/groef/gegraven
to wonder, zich afvragen/vroeg af/afgevraagd
to interrogate, ondervragen/ondervroeg/ondervraagd
to ask, vragen/vroeg/gevraagd
to sail, varen/voer/is gevaren
to swear (oath), zweren/zwoer/gezworen
to roam, zwerven/zwoer/gezworven

#X/IE/A-en
to blow, blazen/blies/geblazen
to sleep, slapen/sliep/geslapen
to create, scheppen/schiep/geschapen 
to sleep, slapen/sliep/geslapen
to sleep in, uitslapen/sliep uit/uitgeslapen
to let, laten/liet/gelaten
to let go, loslaten/liet los/losgelaten
to please/have a baby, bevallen/beviel/is bevallen
to stand out, opvallen/viel op/is opgevallen
to surprise, overvallen/overviel/overvallen
to fall, vallen/viel/is gevallen

#X/IE/O_OU_OE-en
to spoil, bederven/bedierf/bedorven
to help, helpen/hielp/geholpen
to walk, lopen/liep/is gelopen
to go wrong, mislopen/liep mis/misgelopen
to get filled up, vollopen/liep vol/is volgelopen
to submit, onderwerpen/onderwierp/onderworpen
to fill in, volwerpen/wierp vol/volgeworpen
to throw, werpen/wierp/geworpen
to die, sterven/stierf/is gestorven
to hold, houden/hield/gehouden
to provide, onderhouden/onderhield/onderhouden
to stop, ophouden/hield op/is opgehouden
to persist, volhouden/hield vol/volgehouden
to restrict, weerhouden/weerhield/weerhouden
to shout/call, roepen/riep/geroepen

#X/CHT/CHT
to visit, bezoeken/bezocht/bezocht
to buy, kopen/kocht/gekocht
to search, zoeken/zocht/gezocht
to research, onderzoeken/onderzocht/onderzocht

#A/I/A
to continue, doorgaan/ging door/is doorgegaan
to go, gaan/ging/is gegaan
to go wrong, misgaan/ging mis/is misgegaan
to handle, omgaan/ging om/omgegaan
to endure, ondergaan/onderging/ondergaan
to go under, ondergaan/ging onder/is ondergegaan
to exit, uitgaan/ging uit/is uitgegaan
to hang, hangen/hing/gehangen
to depend, afhangen/hing af/afgehangen
to catch, vangen/ving/gevangen
to receive, ontvangen/ontving/ontvangen
to replace, vervangen/verving/vervangen
to miss, misslaan/sloeg mis/misgeslagen

#A/O/A
to stand, staan/stond/gestaan
to originate, ontstaan/ontstond/is ontstaan
to endure, doorstaan/doorstond/doorstaan
to rise, opstaan/stond op/opgestaan
to resist, weerstaan/weerstond/weerstaan

to echo, weerklinken/weerklonken/weerklonken

to have to, moeten/moest/gemoeten
to be allowed to, mogen/mocht/gemogen
to become, worden/werd/is geworden 
to know, weten/wist/geweten
to see, zien/zag/gezien
to see through, doorzien/doorzag/doorzien
to oversee, overzien/overzag/overzien
to foresee, voorzien/voorzag/voorzien

to say, zeggen/zei/gezegd 
to be able to, kunnen/kon/gekund
to be, zijn/was/is geweest
to do, doen/deed/gedaan

will/shall, zullen/zou
